"cod_ibge";"municipio";"ano";"riqueza";"riqueza_estado";"longevidade";"longevidade_estado";"escolaridade";"escolaridade_estado";"IPDM";"IPDM_estado";"media"
3500105;"Adamantina";2014;0,365;0,457;0,77;0,698;0,51;0,449;0,548;0,535;0
3500105;"Adamantina";2016;0,365;0,438;0,71;0,717;0,587;0,511;0,554;0,555;1
3500105;"Adamantina";2018;0,382;0,451;0,686;0,721;0,612;0,563;0,56;0,578;1
3500105;"Adamantina";2020;0,378;0,439;0,779;0,722;0,625;0,594;0,594;0,585;0
3500105;"Adamantina";2022;0,359;0,441;0,742;0,697;0,594;0,556;0,565;0,565;0
3500105;"Adamantina";2024;0,381;0,464;0,784;0,716;0,658;0,569;0,608;0,583;0
3500204;"Adolfo";2014;0,386;0,457;0,782;0,698;0,531;0,449;0,566;0,535;0
3500204;"Adolfo";2016;0,356;0,438;0,649;0,717;0,555;0,511;0,52;0,555;1
3500204;"Adolfo";2018;0,412;0,451;0,673;0,721;0,667;0,563;0,584;0,578;0
3500204;"Adolfo";2020;0,442;0,439;0,712;0,722;0,627;0,594;0,594;0,585;0
3500204;"Adolfo";2022;0,401;0,441;0,751;0,697;0,635;0,556;0,596;0,565;0
3500204;"Adolfo";2024;0,427;0,464;0,778;0,716;0,746;0,569;0,65;0,583;0
3500303;"Aguaí";2014;0,348;0,457;0,63;0,698;0,408;0,449;0,462;0,535;1
3500303;"Aguaí";2016;0,323;0,438;0,673;0,717;0,448;0,511;0,481;0,555;1
3500303;"Aguaí";2018;0,353;0,451;0,672;0,721;0,48;0,563;0,502;0,578;1
3500303;"Aguaí";2020;0,349;0,439;0,694;0,722;0,513;0,594;0,519;0,585;1
3500303;"Aguaí";2022;0,352;0,441;0,649;0,697;0,465;0,556;0,489;0,565;1
3500303;"Aguaí";2024;0,387;0,464;0,733;0,716;0,48;0,569;0,533;0,583;1
3500402;"Águas da Prata";2014;0,322;0,457;0,708;0,698;0,43;0,449;0,487;0,535;1
3500402;"Águas da Prata";2016;0,292;0,438;0,751;0,717;0,532;0,511;0,525;0,555;1
3500402;"Águas da Prata";2018;0,317;0,451;0,772;0,721;0,616;0,563;0,568;0,578;1
3500402;"Águas da Prata";2020;0,317;0,439;0,792;0,722;0,647;0,594;0,585;0,585;0
3500402;"Águas da Prata";2022;0,306;0,441;0,781;0,697;0,621;0,556;0,569;0,565;0
3500402;"Águas da Prata";2024;0,326;0,464;0,778;0,716;0,527;0,569;0,544;0,583;1
3500501;"Águas de Lindóia";2014;0,396;0,457;0,723;0,698;0,556;0,449;0,558;0,535;0
3500501;"Águas de Lindóia";2016;0,391;0,438;0,747;0,717;0,523;0,511;0,554;0,555;1
3500501;"Águas de Lindóia";2018;0,402;0,451;0,755;0,721;0,653;0,563;0,603;0,578;0
3500501;"Águas de Lindóia";2020;0,379;0,439;0,753;0,722;0,71;0,594;0,614;0,585;0
3500501;"Águas de Lindóia";2022;0,391;0,441;0,783;0,697;0,659;0,556;0,611;0,565;0
3500501;"Águas de Lindóia";2024;0,421;0,464;0,82;0,716;0,695;0,569;0,645;0,583;0
3500550;"Águas de Santa Bárbara";2014;0,393;0,457;0,671;0,698;0,492;0,449;0,519;0,535;1
3500550;"Águas de Santa Bárbara";2016;0,386;0,438;0,669;0,717;0,657;0,511;0,571;0,555;0
3500550;"Águas de Santa Bárbara";2018;0,414;0,451;0,64;0,721;0,706;0,563;0,587;0,578;0
3500550;"Águas de Santa Bárbara";2020;0,429;0,439;0,635;0,722;0,693;0,594;0,586;0,585;0
3500550;"Águas de Santa Bárbara";2022;0,411;0,441;0,695;0,697;0,642;0,556;0,583;0,565;0
3500550;"Águas de Santa Bárbara";2024;0,455;0,464;0,731;0,716;0,683;0,569;0,623;0,583;0
3500600;"Águas de São Pedro";2014;0,535;0,457;0,797;0,698;0,665;0,449;0,666;0,535;0
3500600;"Águas de São Pedro";2016;0,528;0,438;0,712;0,717;0,669;0,511;0,636;0,555;0
3500600;"Águas de São Pedro";2018;0,552;0,451;0,74;0,721;0,78;0,563;0,691;0,578;0
3500600;"Águas de São Pedro";2020;0,543;0,439;0,755;0,722;0,801;0,594;0,7;0,585;0
3500600;"Águas de São Pedro";2022;0,522;0,441;0,769;0,697;0,812;0,556;0,701;0,565;0
3500600;"Águas de São Pedro";2024;0,539;0,464;0,821;0,716;0,827;0,569;0,729;0,583;0
3500709;"Agudos";2014;0,407;0,457;0,645;0,698;0,441;0,449;0,498;0,535;1
3500709;"Agudos";2016;0,402;0,438;0,677;0,717;0,525;0,511;0,535;0,555;1
3500709;"Agudos";2018;0,405;0,451;0,695;0,721;0,55;0,563;0,55;0,578;1
3500709;"Agudos";2020;0,402;0,439;0,679;0,722;0,605;0,594;0,562;0,585;1
3500709;"Agudos";2022;0,396;0,441;0,595;0,697;0,563;0,556;0,518;0,565;1
3500709;"Agudos";2024;0,424;0,464;0,734;0,716;0,572;0,569;0,577;0,583;1
3500758;"Alambari";2014;0,302;0,457;0,528;0,698;0,484;0,449;0,438;0,535;1
3500758;"Alambari";2016;0,296;0,438;0,537;0,717;0,513;0,511;0,449;0,555;1
3500758;"Alambari";2018;0,329;0,451;0,573;0,721;0,528;0,563;0,477;0,578;1
3500758;"Alambari";2020;0,319;0,439;0,669;0,722;0,552;0,594;0,513;0,585;1
3500758;"Alambari";2022;0,318;0,441;0,639;0,697;0,555;0,556;0,504;0,565;1
3500758;"Alambari";2024;0,333;0,464;0,773;0,716;0,565;0,569;0,557;0,583;1
3500808;"Alfredo Marcondes";2014;0,287;0,457;0,818;0,698;0,549;0,449;0,551;0,535;0
3500808;"Alfredo Marcondes";2016;0,265;0,438;0,668;0,717;0,629;0,511;0,521;0,555;1
3500808;"Alfredo Marcondes";2018;0,302;0,451;0,61;0,721;0,608;0,563;0,507;0,578;1
3500808;"Alfredo Marcondes";2020;0,315;0,439;0,512;0,722;0,728;0,594;0,518;0,585;1
3500808;"Alfredo Marcondes";2022;0,292;0,441;0,508;0,697;0,702;0,556;0,501;0,565;1
3500808;"Alfredo Marcondes";2024;0,32;0,464;0,588;0,716;0,561;0,569;0,49;0,583;1
3500907;"Altair";2014;0,388;0,457;0,723;0,698;0,314;0,449;0,475;0,535;1
3500907;"Altair";2016;0,414;0,438;0,707;0,717;0,434;0,511;0,518;0,555;1
3500907;"Altair";2018;0,399;0,451;0,719;0,721;0,5;0,563;0,539;0,578;1
3500907;"Altair";2020;0,399;0,439;0,719;0,722;0,571;0,594;0,563;0,585;1
3500907;"Altair";2022;0,407;0,441;0,706;0,697;0,529;0,556;0,547;0,565;1
3500907;"Altair";2024;0,469;0,464;0,725;0,716;0,592;0,569;0,595;0,583;0
3501004;"Altinópolis";2014;0,365;0,457;0,779;0,698;0,428;0,449;0,524;0,535;1
3501004;"Altinópolis";2016;0,36;0,438;0,688;0,717;0,507;0,511;0,518;0,555;1
3501004;"Altinópolis";2018;0,381;0,451;0,664;0,721;0,522;0,563;0,522;0,578;1
3501004;"Altinópolis";2020;0,386;0,439;0,769;0,722;0,6;0,594;0,585;0,585;0
3501004;"Altinópolis";2022;0,367;0,441;0,657;0,697;0,533;0,556;0,519;0,565;1
3501004;"Altinópolis";2024;0,386;0,464;0,732;0,716;0,623;0,569;0,58;0,583;1
3501103;"Alto Alegre";2014;0,43;0,457;0,798;0,698;0,39;0,449;0,539;0,535;0
3501103;"Alto Alegre";2016;0,397;0,438;0,763;0,717;0,456;0,511;0,539;0,555;1
3501103;"Alto Alegre";2018;0,462;0,451;0,742;0,721;0,545;0,563;0,583;0,578;0
3501103;"Alto Alegre";2020;0,332;0,439;0,671;0,722;0,522;0,594;0,508;0,585;1
3501103;"Alto Alegre";2022;0,317;0,441;0,4;0,697;0,607;0,556;0,441;0,565;1
3501103;"Alto Alegre";2024;0,341;0,464;0,53;0,716;0,676;0,569;0,516;0,583;1
3501152;"Alumínio";2014;0,512;0,457;0,659;0,698;0,419;0,449;0,53;0,535;1
3501152;"Alumínio";2016;0,492;0,438;0,666;0,717;0,455;0,511;0,538;0,555;1
3501152;"Alumínio";2018;0,5;0,451;0,691;0,721;0,572;0,563;0,588;0,578;0
3501152;"Alumínio";2020;0,499;0,439;0,706;0,722;0,564;0,594;0,59;0,585;0
