"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3506359,"Bertioga",46417.7447,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3506359,"Bertioga",45937.18017,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3506359,"Bertioga",46417.7447,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
3506359,"Bertioga",41444.8355,2020,"Riqueza",73338.7,"Produto Interno Bruto per capita (R$ de 2024)"
3506359,"Bertioga",34785.52129,2022,"Riqueza",63120.7,"Produto Interno Bruto per capita (R$ de 2024)"
3506359,"Bertioga",42939.19873,2024,"Riqueza",82440.92,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",171242.4794,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",249163.0965,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",171242.4794,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",169725.1933,2020,"Riqueza",73338.7,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",250463.458,2022,"Riqueza",63120.7,"Produto Interno Bruto per capita (R$ de 2024)"
3513504,"Cubatão",270118.7332,2024,"Riqueza",82440.92,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",45621.80634,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",45570.60383,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",45621.80634,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",40321.08939,2020,"Riqueza",73338.7,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",39134.75621,2022,"Riqueza",63120.7,"Produto Interno Bruto per capita (R$ de 2024)"
3518701,"Guarujá",43481.55417,2024,"Riqueza",82440.92,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",32290.13625,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",30050.07305,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",32290.13625,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",30616.06891,2020,"Riqueza",73338.7,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",22776.60042,2022,"Riqueza",63120.7,"Produto Interno Bruto per capita (R$ de 2024)"
3522109,"Itanhaém",27386.64446,2024,"Riqueza",82440.92,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",32271.36023,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",31360.11744,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",32271.36023,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",30726.6638,2020,"Riqueza",73338.7,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",22112.67379,2022,"Riqueza",63120.7,"Produto Interno Bruto per capita (R$ de 2024)"
3531100,"Mongaguá",25734.21357,2024,"Riqueza",82440.92,"Produto Interno Bruto per capita (R$ de 2024)"
3537602,"Peruíbe",38725.93634,2014,"Riqueza",90454.96,"Produto Interno Bruto per capita (R$ de 2024)"
3537602,"Peruíbe",33010.29115,2016,"Riqueza",82888.73,"Produto Interno Bruto per capita (R$ de 2024)"
3537602,"Peruíbe",38725.93634,2018,"Riqueza",82943.19,"Produto Interno Bruto per capita (R$ de 2024)"
