"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3506359,"Bertioga",12.7489329,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3506359,"Bertioga",19.06189606,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3506359,"Bertioga",22.05775785,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3506359,"Bertioga",27.69852316,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3506359,"Bertioga",27.855,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3506359,"Bertioga",26.55,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",22.90917083,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",25.21374599,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",29.37778125,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",35.59101471,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",31.605,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3513504,"Cubatão",33.06,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",12.9709696,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",17.49650098,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",26.78344499,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",31.25110881,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",27.38,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3518701,"Guarujá",26.96,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",20.76324652,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",25.49706192,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",31.15384555,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",37.29157336,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",29.615,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3522109,"Itanhaém",31.7,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",18.03496737,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",21.14413216,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",27.49370633,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",32.64215709,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",24.64,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3531100,"Mongaguá",22.405,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",17.79477123,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",24.09652513,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",24.03282118,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",28.9915141,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",27.3,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3537602,"Peruíbe",26.805,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",23.72308426,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",28.24037888,2016,"Escolaridade",24.39,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",32.2664783,2018,"Escolaridade",29.18,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",35.01544161,2020,"Escolaridade",33.99,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",34.075,2022,"Escolaridade",32.24,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3541000,"Praia Grande",34.39,2024,"Escolaridade",31.01,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
3548500,"Santos",21.95329855,2014,"Escolaridade",20.17,"Proporção média de  alunos do 9º ano com proficiência em Língua Portuguesa e Matemática (%)"
