"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3500105,"Adamantina",49.79608819,2014,"Escolaridade",50.89,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500105,"Adamantina",69.06085183,2016,"Escolaridade",60.03,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500105,"Adamantina",72.89367172,2018,"Escolaridade",65.72,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500105,"Adamantina",72.97791849,2020,"Escolaridade",65.77,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500105,"Adamantina",60.285,2022,"Escolaridade",55.49,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500105,"Adamantina",59.745,2024,"Escolaridade",57.87,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",54.53947368,2014,"Escolaridade",50.89,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",60.08991587,2016,"Escolaridade",60.03,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",73.77136752,2018,"Escolaridade",65.72,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",62.60269933,2020,"Escolaridade",65.77,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",60.27,2022,"Escolaridade",55.49,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500204,"Adolfo",67.705,2024,"Escolaridade",57.87,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500303,"Aguaí",48.55487348,2014,"Escolaridade",50.89,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
3500303,"Aguaí",54.63676173,2016,"Escolaridade",60.03,"Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática (%)"
