"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3500105,"Adamantina",7.421150278,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500105,"Adamantina",12.85583104,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500105,"Adamantina",10.81081081,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500105,"Adamantina",3.384094755,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500105,"Adamantina",8.802816901,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500105,"Adamantina",8.100810081,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",7.326007326,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",9.615384615,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",12.01201201,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",9.118541033,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",6.134969325,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500204,"Adolfo",5.934718101,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",11.72791243,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",15.73564123,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",14.55938697,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",7.90513834,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",10.3626943,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500303,"Aguaí",9.666080844,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",10.54481547,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",9.090909091,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",8.849557522,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",7.736943907,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",8.316008316,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500402,"Águas da Prata",8.928571429,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500501,"Águas de Lindóia",5.738880918,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500501,"Águas de Lindóia",6.144393241,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3500501,"Águas de Lindóia",7.886435331,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
