cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3500105;Adamantina;2014;2;Médio;33862
3500105;Adamantina;2016;3;Alto;33882
3500105;Adamantina;2018;3;Alto;33888
3500105;Adamantina;2020;3;Alto;33894
3500105;Adamantina;2022;3;Alto;34681
3500105;Adamantina;2024;4;Muito alto;34763
3500204;Adolfo;2014;3;Alto;3512
3500204;Adolfo;2016;2;Médio;3490
3500204;Adolfo;2018;3;Alto;3469
3500204;Adolfo;2020;3;Alto;3447
3500204;Adolfo;2022;3;Alto;4345
3500204;Adolfo;2024;4;Muito alto;4476
3500303;Aguaí;2014;1;Baixo;33542
3500303;Aguaí;2016;1;Baixo;34242
3500303;Aguaí;2018;2;Médio;34919
3500303;Aguaí;2020;2;Médio;35608
3500303;Aguaí;2022;1;Baixo;32073
3500303;Aguaí;2024;2;Médio;31971
3500402;Águas da Prata;2014;1;Baixo;7676
3500402;Águas da Prata;2016;2;Médio;7720
3500402;Águas da Prata;2018;3;Alto;7758
3500402;Águas da Prata;2020;3;Alto;7797
3500402;Águas da Prata;2022;3;Alto;7370
3500402;Águas da Prata;2024;2;Médio;7307
3500501;Águas de Lindóia;2014;3;Alto;17731
3500501;Águas de Lindóia;2016;3;Alto;17954
3500501;Águas de Lindóia;2018;4;Muito alto;18163
3500501;Águas de Lindóia;2020;4;Muito alto;18374
3500501;Águas de Lindóia;2022;4;Muito alto;17925
3500501;Águas de Lindóia;2024;4;Muito alto;17921
3500550;Águas de Santa Bárbara;2014;2;Médio;5734
3500550;Águas de Santa Bárbara;2016;3;Alto;5801
3500550;Águas de Santa Bárbara;2018;3;Alto;5865
3500550;Águas de Santa Bárbara;2020;3;Alto;5931
3500550;Águas de Santa Bárbara;2022;3;Alto;7165
3500550;Águas de Santa Bárbara;2024;4;Muito alto;7374
3500600;Águas de São Pedro;2014;4;Muito alto;2880
3500600;Águas de São Pedro;2016;4;Muito alto;2966
3500600;Águas de São Pedro;2018;4;Muito alto;3043
3500600;Águas de São Pedro;2020;4;Muito alto;3122
3500600;Águas de São Pedro;2022;4;Muito alto;2779
3500600;Águas de São Pedro;2024;4;Muito alto;2771
3500709;Agudos;2014;1;Baixo;35199
3500709;Agudos;2016;2;Médio;35525
3500709;Agudos;2018;2;Médio;35828
3500709;Agudos;2020;3;Alto;36134
3500709;Agudos;2022;2;Médio;37657
3500709;Agudos;2024;3;Alto;38022
3500758;Alambari;2014;1;Baixo;5244
3500758;Alambari;2016;1;Baixo;5426
3500758;Alambari;2018;1;Baixo;5600
3500758;Alambari;2020;2;Médio;5779
3500758;Alambari;2022;2;Médio;6131
3500758;Alambari;2024;3;Alto;6321
3500808;Alfredo Marcondes;2014;3;Alto;3910
3500808;Alfredo Marcondes;2016;2;Médio;3919
3500808;Alfredo Marcondes;2018;2;Médio;3923
3500808;Alfredo Marcondes;2020;2;Médio;3927
3500808;Alfredo Marcondes;2022;2;Médio;4441
3500808;Alfredo Marcondes;2024;1;Baixo;4509
3500907;Altair;2014;1;Baixo;3907
3500907;Altair;2016;2;Médio;3951
3500907;Altair;2018;2;Médio;3994
3500907;Altair;2020;3;Alto;4036
3500907;Altair;2022;2;Médio;3453
3500907;Altair;2024;3;Alto;3368
3501004;Altinópolis;2014;2;Médio;15571
3501004;Altinópolis;2016;2;Médio;15560
3501004;Altinópolis;2018;2;Médio;15557
3501004;Altinópolis;2020;3;Alto;15553
3501004;Altinópolis;2022;2;Médio;16809
3501004;Altinópolis;2024;3;Alto;16915
3501103;Alto Alegre;2014;2;Médio;4074
3501103;Alto Alegre;2016;2;Médio;4057
3501103;Alto Alegre;2018;3;Alto;4037
3501103;Alto Alegre;2020;2;Médio;4017
3501103;Alto Alegre;2022;1;Baixo;3843
3501103;Alto Alegre;2024;2;Médio;3790
3501152;Alumínio;2014;2;Médio;17296
3501152;Alumínio;2016;2;Médio;17525
3501152;Alumínio;2018;3;Alto;17747
3501152;Alumínio;2020;3;Alto;17972
3501152;Alumínio;2022;3;Alto;17298
3501152;Alumínio;2024;3;Alto;17236
3501202;Álvares Florence;2014;2;Médio;3783
3501202;Álvares Florence;2016;3;Alto;3727
3501202;Álvares Florence;2018;3;Alto;3673
3501202;Álvares Florence;2020;4;Muito alto;3621
3501202;Álvares Florence;2022;4;Muito alto;3915
3501202;Álvares Florence;2024;4;Muito alto;3889
3501301;Álvares Machado;2014;1;Baixo;23583
3501301;Álvares Machado;2016;1;Baixo;23639
3501301;Álvares Machado;2018;2;Médio;23714
3501301;Álvares Machado;2020;3;Alto;23789
3501301;Álvares Machado;2022;2;Médio;27227
3501301;Álvares Machado;2024;3;Alto;27745
3501400;Álvaro de Carvalho;2014;1;Baixo;4803
3501400;Álvaro de Carvalho;2016;1;Baixo;4883
3501400;Álvaro de Carvalho;2018;1;Baixo;4962
3501400;Álvaro de Carvalho;2020;2;Médio;5044
3501400;Álvaro de Carvalho;2022;1;Baixo;4807
3501400;Álvaro de Carvalho;2024;2;Médio;4824
3501509;Alvinlândia;2014;2;Médio;3074
3501509;Alvinlândia;2016;2;Médio;3109
3501509;Alvinlândia;2018;2;Médio;3142
3501509;Alvinlândia;2020;2;Médio;3176
3501509;Alvinlândia;2022;1;Baixo;2886
3501509;Alvinlândia;2024;1;Baixo;2856
3501608;Americana;2014;3;Alto;220545
3501608;Americana;2016;4;Muito alto;225183
3501608;Americana;2018;4;Muito alto;229283
3501608;Americana;2020;4;Muito alto;233458
3501608;Americana;2022;4;Muito alto;237044
3501608;Americana;2024;4;Muito alto;240388
3501707;Américo Brasiliense;2014;2;Médio;36861
3501707;Américo Brasiliense;2016;2;Médio;38030
3501707;Américo Brasiliense;2018;3;Alto;39121
3501707;Américo Brasiliense;2020;2;Médio;40243
3501707;Américo Brasiliense;2022;2;Médio;33029
3501707;Américo Brasiliense;2024;2;Médio;32478
3501806;Américo de Campos;2014;2;Médio;5726
3501806;Américo de Campos;2016;2;Médio;5732
3501806;Américo de Campos;2018;2;Médio;5734
3501806;Américo de Campos;2020;2;Médio;5736
3501806;Américo de Campos;2022;2;Médio;5869
3501806;Américo de Campos;2024;4;Muito alto;5891
3501905;Amparo;2014;3;Alto;67486
3501905;Amparo;2016;3;Alto;68260
3501905;Amparo;2018;4;Muito alto;68945
3501905;Amparo;2020;4;Muito alto;69639
3501905;Amparo;2022;3;Alto;67993
3501905;Amparo;2024;4;Muito alto;67982
3502002;Analândia;2014;2;Médio;4530
3502002;Analândia;2016;3;Alto;4643
3502002;Analândia;2018;2;Médio;4746
3502002;Analândia;2020;2;Médio;4850
3502002;Analândia;2022;3;Alto;4587
3502002;Analândia;2024;3;Alto;4634
3502101;Andradina;2014;3;Alto;55687
3502101;Andradina;2016;3;Alto;55831
3502101;Andradina;2018;3;Alto;55943
3502101;Andradina;2020;3;Alto;56054
3502101;Andradina;2022;2;Médio;59751
3502101;Andradina;2024;3;Alto;60205
3502200;Angatuba;2014;3;Alto;23122
3502200;Angatuba;2016;3;Alto;23586
3502200;Angatuba;2018;4;Muito alto;24038
3502200;Angatuba;2020;3;Alto;24501
3502200;Angatuba;2022;3;Alto;24009
3502200;Angatuba;2024;3;Alto;24223
3502309;Anhembi;2014;1;Baixo;6063
3502309;Anhembi;2016;1;Baixo;6269
3502309;Anhembi;2018;2;Médio;6467
3502309;Anhembi;2020;2;Médio;6672
3502309;Anhembi;2022;1;Baixo;5674
3502309;Anhembi;2024;1;Baixo;5638
3502408;Anhumas;2014;3;Alto;3831
3502408;Anhumas;2016;2;Médio;3877
3502408;Anhumas;2018;2;Médio;3919
3502408;Anhumas;2020;3;Alto;3963
3502408;Anhumas;2022;2;Médio;4021
3502408;Anhumas;2024;2;Médio;4045
3502507;Aparecida;2014;1;Baixo;35292
3502507;Aparecida;2016;3;Alto;35432
3502507;Aparecida;2018;4;Muito alto;35570
3502507;Aparecida;2020;3;Alto;35709
3502507;Aparecida;2022;3;Alto;32585
3502507;Aparecida;2024;3;Alto;31909
3502606;Aparecida d'Oeste;2014;2;Médio;4317
3502606;Aparecida d'Oeste;2016;3;Alto;4253
3502606;Aparecida d'Oeste;2018;4;Muito alto;4192
3502606;Aparecida d'Oeste;2020;4;Muito alto;4132
3502606;Aparecida d'Oeste;2022;2;Médio;4088
3502606;Aparecida d'Oeste;2024;4;Muito alto;4020
3502705;Apiaí;2014;1;Baixo;24803
3502705;Apiaí;2016;1;Baixo;24695
3502705;Apiaí;2018;1;Baixo;24681
3502705;Apiaí;2020;2;Médio;24666
3502705;Apiaí;2022;1;Baixo;24589
3502705;Apiaí;2024;2;Médio;24374
3502754;Araçariguama;2014;2;Médio;18694
3502754;Araçariguama;2016;2;Médio;19493
3502754;Araçariguama;2018;3;Alto;20223
3502754;Araçariguama;2020;3;Alto;20980
3502754;Araçariguama;2022;3;Alto;21487
3502754;Araçariguama;2024;3;Alto;22192
3502804;Araçatuba;2014;2;Médio;185509
3502804;Araçatuba;2016;3;Alto;187313
3502804;Araçatuba;2018;3;Alto;188884
3502804;Araçatuba;2020;4;Muito alto;190469
3502804;Araçatuba;2022;3;Alto;199989
3502804;Araçatuba;2024;4;Muito alto;201897
3502903;Araçoiaba da Serra;2014;2;Médio;29351
